Company,Title,Price,Volume,High,Low
Just Energy Group,JE,4.40,"1,056,497",4.46,4.30
Just Energy Pfd. A,JE.PA,24.21,"49,537",24.77,24.06
Kadant,KAI,94.50,"302,436",97.85,92.85
Kadmon Holdings,KDMN,4.25,"1,415,150",4.51,4.07
Kaman,KAMN,62.12,"562,125",63.06,60.95
Kansas City Southern,KSU,109.85,"3,319,232",110.69,106.35
Kansas City So 4% pfd.,KSU.P,26.70,467,26.85,26.26
KapStone Paper&Pkg;,KS,34.31,"5,505,860",34.75,34.31
KAR Auction Services,KAR,54.20,"4,011,252",54.77,53.18
Kayne Anderson Energy,KED,15.56,"194,207",15.64,15.00
Kayne Anderson Engy TR Fd,KYE,8.60,"567,250",8.79,8.44
Kayne Andrsn Midstr Engy,KMF,11.75,"513,604",12.15,11.52
Kayne Anderson MLP Invt,KYN,16.47,"1,899,268",16.55,15.75
Kayne Anderson MLP Pfd F,KYN.PF,25.22,"7,927",25.25,25.16
KB Financial Group ADR,KB,57.94,"593,318",58.17,55.65
KB Home,KBH,28.45,"10,652,358",29.85,27.57
KBR Inc,KBR,16.19,"7,896,393",16.57,15.47
KCAP 7.375% Sr Nts 2019,KAP,25.31,"4,316",25.35,25.16
Keane Group,FRAC,14.80,"4,101,537",15.89,14.21
Kellogg Co,K,65.01,"9,110,819",65.24,63.28
Kemet,KEM,18.13,"2,976,196",19.03,17.33
Kemper Deb. due 2054,KMPA,25.89,"6,662",26.04,25.79
Kemper Corp,KMPR,57.00,"1,039,276",57.95,55.25
Kennametal,KMT,40.16,"4,797,563",41.78,39.40
Kennedy-Wilson Holdings,KW,17.40,"4,117,692",17.80,16.95
Kenon Holdings,KEN,16.25,"20,346",17.45,16.20
KeyCorp,KEY,19.55,"43,715,323",20.05,19.00
KeyCorp Pfd. E,KEY.PI,28.22,"111,587",28.23,27.66
Key Energy Services,KEG,11.72,"300,628",12.77,11.34
Keysight Technologies,KEYS,52.39,"2,928,672",53.09,50.39
Kilroy Realty,KRC,70.96,"2,036,606",71.81,68.66
Kimbell Royalty Partners,KRP,19.00,"54,855",19.00,17.00
Kimberly-Clark,KMB,110.13,"10,578,950",112.50,105.19
Kimco Realty,KIM,14.40,"19,485,622",14.68,13.69
Kimco Realty Pfd J,KIM.PJ,23.28,"75,064",23.64,23.15
Kimco Realty Pfd. M,KIM.PM,21.99,"118,570",22.71,21.93
Kimco Realty Pfd. Cl L,KIM.PL,22.00,"71,995",22.40,21.89
Kimco Realty Dep 6  Pfd I,KIM.PI,24.76,"105,160",25.20,24.70
Kimco Realty Dep. Pfd. K,KIM.PK,23.29,"49,103",23.73,23.28
Kinder Morgan,KMI,15.06,"77,207,232",15.41,14.76
Kinder Morgan Dep Pfd A,KMI.PA,31.09,"285,109",31.53,30.00
Kindred Healthcare,KND,9.15,"7,687,154",9.25,9.03
Kingsway Fincl Svcs,KFS,4.00,"91,381",4.05,3.65
Kinross Gold,KGC,3.95,"46,348,879",4.02,3.85
Kirby Corp,KEX,76.95,"1,779,706",78.10,73.85
Kirkland Lake Gold,KL,15.46,"3,086,393",16.09,14.82
Kite Realty Group Trust,KRG,15.23,"2,691,393",15.48,14.49
KKR,KKR,20.30,"8,697,875",21.04,20.07
KKR 6.5% Perp. Pfd. B,KKR.PB,26.15,"65,462",26.29,25.90
KKR 6.75% Perp. Pfd. A,KKR.PA,26.32,"71,478",26.43,26.08
KKR Income Opps Fund,KIO,15.88,"257,874",15.94,15.76
KKR Real Est Finance Tr,KREF,20.06,"326,406",20.53,19.81
KMG Chemicals,KMG,59.95,"506,976",62.17,59.38
Knight-Swift Transport,KNX,46.01,"10,097,667",48.15,44.63
Knoll,KNL,20.19,"700,606",20.43,19.27
Knot Offshore Partners,KNOP,19.80,"312,868",20.30,19.57
Knowledge Ldrs Dev World,KLDW,34.16,"95,103",34.26,33.42
Knowles Corp.,KN,12.59,"4,521,267",12.87,12.26
Kohl's Corp,KSS,65.51,"15,204,394",66.01,62.40
Koninklijke Philips ADR,PHG,38.31,"4,018,440",38.52,37.45
Koppers Holdings,KOP,41.10,"587,663",41.95,40.25
Korea Electric Power ADR,KEP,15.39,"2,509,209",15.48,14.12
Korea Fund,KF,40.82,"97,780",41.25,38.42
Korn/Ferry Intl,KFY,51.59,"2,352,078",52.17,48.51
Kosmos Energy,KOS,6.30,"5,261,940",6.38,6.02
KraneShs Bosera China A,KBA,34.89,"802,953",35.06,33.80
Krane CSI China Internet,KWEB,61.43,"2,874,383",64.67,59.42
KraneShares E Fd China,KCNY,37.19,"13,211",37.23,36.71
KraneShares Elc Vehicles,KARS,23.54,"24,758",24.16,23.02
KraneShares EM Cons Tech,KEMQ,26.76,"51,375",27.39,26.19
KraneShs China Hlth Care,KURE,27.26,"42,364",27.73,26.88
KraneShs MSCI China Env,KGRN,24.39,"5,136",24.40,23.92
KraneSh One Belt One Road,OBOR,26.08,"62,124",26.15,25.49
KraneShs Zacks New China,KFYP,32.98,677,33.48,32.35
Kraton,KRA,47.71,"1,034,002",48.65,46.54
Kroger Co,KR,23.94,"30,484,902",24.14,23.26
Kronos Worldwide,KRO,22.60,"1,512,628",23.10,21.38
KT ADR,KT,13.70,"3,693,486",13.74,13.04
K12,LRN,14.18,"714,906",14.89,14.17
Kyocera ADR,KYO,56.74,"119,170",56.76,54.34
Lab Corp Of Amer Hldgs,LH,161.75,"3,124,817",166.42,159.94
Ladder Capital Cl A,LADR,15.08,"6,145,934",15.17,14.74
Lamb Weston Holdings,LW,58.22,"4,287,135",58.50,54.48
Lannett Co,LCI,16.05,"3,060,398",16.15,14.40
La Quinta Holdings,LQ,18.91,"6,647,986",19.03,18.40
Laredo Petroleum,LPI,8.71,"12,425,108",9.00,8.54
LaSalle Hotel Prprts,LHO,29.01,"22,693,980",29.24,24.58
LaSalle Hotel Pfd J SBI,LHO.PJ,24.29,"35,057",24.40,24.11
LaSalle Hotel Prop Pfd I,LHO.PI,24.44,"37,104",24.76,24.20
Las Vegas Sands,LVS,71.90,"19,486,650",73.15,69.94
LATAM Airlines Grp ADR,LTM,15.39,"1,390,374",15.57,14.88
Latin Amer Discovery Fund,LDF,12.26,"33,215",12.34,11.88
Lazard Global TR Fund,LGI,17.82,"507,560",18.56,17.70
Lazard,LAZ,52.56,"2,884,707",52.97,51.05
Lazard Div&Income; Fd,LOR,11.50,"96,773",11.71,11.48
La-Z-Boy,LZB,29.95,"2,302,395",30.95,29.20
L Brands,LB,38.21,"22,837,871",38.89,36.77
LCI Industries,LCII,104.15,"702,842",104.65,99.46
Leaf Group,LFGR,7.05,"207,651",7.35,6.95
Lear Corp,LEA,186.09,"2,671,281",189.62,180.12
Lee Enterprises,LEE,1.95,"1,421,660",2.05,1.95
Legacy Acquisition Cl A,LGC,9.59,"119,589",9.60,9.56
Legacy Acquisition Un,LGC.U,9.95,"12,100",9.95,9.90
Legacy Acquisition Wt,LGC.WS,.35,"33,900",.39,.33
Leggett&Platt;,LEG,44.36,"3,951,219",44.55,43.05
Legg Mason,LM,40.65,"2,549,296",40.87,39.01
Legg Mason 6.375% Nt 2056,LMHA,26.32,"80,043",26.44,26.17
Legg Mason 5.45% Nts 2056,LMHB,24.18,"213,553",24.32,24.11
LEH 3.5% TRUCs GS 2004-6,JBK,25.50,"1,343",...,...
Leidos Holdings,LDOS,65.40,"3,681,173",66.32,63.92
Leju Holdings ADR,LEJU,1.35,"1,029,654",1.50,1.30
LendingClub,LC,3.50,"16,564,971",3.78,3.43
Lennar Cl A,LEN,58.94,"12,452,747",59.45,58.25
Lennar Cl B,LEN.B,47.69,"228,733",48.58,47.30
Lennox International,LII,204.37,"1,493,921",206.48,199.52
Leo Holdings Un,LHC.U,9.93,"443,106",9.97,9.93
Leucadia National,LUK,22.73,"9,424,792",22.92,22.03
Lexington Realty Trust,LXP,7.87,"5,161,794",8.01,7.68
Lexington Realty Pfd C,LXP.PC,48.52,"2,792",49.10,48.50
LG Display ADR,LPL,12.10,"4,370,563",12.16,11.59
Liberty All-Star Equity,USA,6.13,"2,433,822",6.21,6.04
Liberty All-Star Growth,ASG,6.04,"257,881",6.14,5.90
Liberty Oilfield Services,LBRT,16.89,"2,552,667",18.22,16.00
Liberty Property Trust,LPT,39.73,"5,628,000",39.95,38.68
Life Storage,LSI,83.52,"1,970,245",84.83,80.28
LightInTheBox Holding ADR,LITB,2.23,"97,828",2.38,2.20
Eli Lilly,LLY,77.37,"14,939,124",77.80,74.65
Lincoln National,LNC,73.06,"6,096,306",74.56,71.25
Lincoln National Wt,LNC.WS,68.79,318,71.00,68.79
Lindsay,LNN,91.44,"597,889",100.40,87.06
LINE ADR,LN,39.01,"786,384",39.50,37.51
Link Motion ADR,LKM,1.66,"2,210,046",2.20,1.56
Lions Gate Ent Cl A,LGF.A,25.83,"3,676,972",27.47,25.59
Lions Gate Ent Cl B,LGF.B,24.08,"2,051,901",25.44,23.83
Lithia Motors Cl A,LAD,100.52,"1,427,179",101.81,97.84
Lithium Americas,LAC,5.42,"1,977,286",6.11,4.72
Live Nation Ent,LYV,42.14,"6,383,898",43.68,41.42
Lloyds Banking Group ADR,LYG,3.72,"15,627,430",3.78,3.67
LMP Cap&Inco; Fd,SCD,12.62,"272,569",12.68,12.30
Lockheed Martin,LMT,337.93,"5,328,264",345.94,333.22
Loews Corp,L,49.73,"6,414,585",50.19,48.91
Loma Negra ADR,LOMA,21.32,"1,098,939",21.70,20.49
Louisiana-Pacific,LPX,28.77,"6,344,743",29.17,28.31
Lowe's Cos,LOW,87.75,"40,943,783",90.33,85.08
LSB Industries,LXU,6.13,"686,283",6.46,5.99
LSC Communications,LKSD,17.45,"1,148,521",17.68,16.58
LTC Properties,LTC,38.00,"1,169,759",38.31,36.17
L3 Technologies,LLL,208.00,"2,525,003",209.73,200.66
Luby's,LUB,2.78,"125,805",2.90,2.75
Lumber Liquidators,LL,23.92,"2,015,249",24.12,23.29
Luxfer Holdings,LXFR,12.80,"363,639",13.64,12.33
Luxoft Holding,LXFT,40.95,"1,386,826",42.35,40.00
Lydall,LDL,48.25,"410,830",48.45,45.80
LyondellBasell Inds,LYB,105.68,"9,975,672",106.49,102.32
M&T; Bank Pfd. Series A,MTB.P,1022.50,"3,309",1022.50,1019.80
Macerich,MAC,56.02,"6,020,339",57.94,54.35
Mack-Cali Realty,CLI,16.71,"3,064,261",16.96,15.86
Macq First Tr Global Fund,MFD,11.62,"83,842",11.69,11.44
Macquarie Glbl Infrstrctr,MGU,22.20,"188,915",22.20,21.32
Macquarie Infrastructure,MIC,36.93,"7,384,886",37.51,36.20
Macy's,M,29.74,"36,841,621",29.91,27.24
Madison Covered Call,MCN,7.26,"325,261",7.32,7.11
Madison Square Garden,MSG,245.80,"598,915",247.00,240.90
Madison Strategic Sect,MSP,11.21,"32,088",11.43,11.12
Madrona Domestic,FWDD,52.52,"4,304",52.54,51.97
Madrona Global Bond,FWDB,25.57,"11,305",26.72,24.20
Madrona International,FWDI,31.04,"2,480",31.11,30.77
Magellan Midstream Ptrs,MMP,58.35,"7,662,458",59.00,54.82
MagnaChip Semiconductor,MX,9.60,"1,767,173",10.35,9.20
Magna Intl,MGA,56.35,"4,906,115",56.49,53.79
Maiden Holdings Nts 2046,MHLA,17.33,"60,791",18.20,16.68
Maiden Hldgs 6.7% Pfd. D,MH.PD,16.30,"60,054",16.50,15.75
Maiden Hldgs Pfd. C,MH.PC,17.63,"74,401",17.95,16.90
Maiden Hldgs Nts 2043,MHNC,19.50,"75,044",19.83,19.30
Maiden Hldgs Pfd. A,MH.PA,19.34,"248,784",19.80,19.23
MainStay Mac Defined Muni,MMD,18.82,"203,255",18.85,18.54
Main Street Capital,MAIN,36.90,"1,148,945",37.29,36.65
Main Street Cap Nts 2023,MSCA,25.23,"20,300",25.30,25.13
Mallinckrodt,MNK,14.48,"12,027,008",14.61,13.82
Mangd Durtn InvGr Mun Fd,MZF,13.60,"70,267",13.64,13.47
Manchester United Cl A,MANU,19.20,"135,623",19.90,18.55
M&T; Bank,MTB,184.36,"2,750,269",185.39,178.94
M&T; Bank Wt,MTB.WS,109.08,350,...,...
Manitowoc,MTW,28.46,"2,617,101",29.57,27.21
Manning&Napier;,MN,3.50,"146,365",3.75,3.45
ManpowerGroup,MAN,115.10,"2,589,788",116.05,111.50
Manulife Financial,MFC,18.58,"10,854,106",18.76,18.22
Marathon Oil,MRO,16.13,"45,511,648",16.40,15.28
Marathon Petroleum,MPC,73.11,"14,677,855",74.92,71.59
Marcus&Millichap;,MMI,36.06,"687,205",36.52,35.17
Marcus Corp,MCS,30.35,"431,822",30.65,29.35
MarineMax,HZO,19.45,"829,649",19.80,18.70
Marine Products,MPX,14.01,"102,301",14.74,13.19
Marin Software,MRIN,6.65,"34,111",6.85,6.40
Markel Corp,MKL,1170.25,"119,743",1178.00,1140.40
Mkt Vectors Dbl Lg Euro,URR,19.70,"2,474",21.21,19.70
Mkt Vectors Dbl Sht Euro,DRR,46.97,"6,900",53.00,45.32
MV EM Inv Grade + BB,IGEM,23.94,"11,120",23.95,23.94
Marriott Vacations,VAC,133.20,"764,498",137.45,132.58
Marsh&McLennan;,MMC,82.59,"6,319,339",83.27,80.77
Martin Marietta,MLM,207.30,"2,292,432",210.58,200.40
Masco Corp,MAS,40.44,"14,586,269",41.19,39.58
Masonite International,DOOR,61.35,"730,668",62.00,58.85
MasTec,MTZ,47.05,"4,975,956",47.75,44.70
Mastercard,MA,175.16,"19,230,779",178.50,168.55
Matador Resources,MTDR,29.91,"4,518,233",30.03,28.17
Matls Select Sector SPDR,XLB,56.94,"31,159,141",57.68,55.69
Materion,MTRN,51.05,"688,445",52.35,48.65
Matson Inc.,MATX,28.64,"717,743",29.07,27.94
Maui Land,MLP,11.65,"121,987",12.20,11.55
Maxar Technologies,MAXR,46.25,"1,197,007",46.55,43.28
Maximus,MMS,66.74,"1,630,757",67.15,63.76
MaxLinear,MXL,22.75,"1,874,298",23.77,22.32
MBIA Inc,MBI,9.26,"7,922,912",9.78,9.10
McCormick&Co;,MKC,106.39,"7,818,705",111.07,105.52
McCormick Vtg,MKC.V,105.82,"1,946",108.39,105.61
McDermott International,MDR,6.09,"41,163,367",6.91,5.75
McDonald's,MCD,156.38,"15,678,983",159.83,156.21
McEwen Mining,MUX,2.08,"8,500,687",2.23,2.00
McKesson,MCK,140.87,"6,151,709",142.50,137.10
MDC Holdings,MDC,27.92,"1,998,077",28.69,27.62
MDU Resources Group,MDU,28.16,"3,277,627",28.23,27.16
Mechel ADR Pfd,MTL.P,1.28,"654,171",1.32,1.22
Mechel ADR,MTL,4.35,"629,564",4.54,4.25
MedEquities Realty Trust,MRT,10.51,"610,791",10.65,9.92
Medical Properties Tr,MPW,13.00,"13,104,477",13.06,12.38
Medifast,MED,93.45,"891,503",94.40,88.74
Medley Capital,MCC,3.98,"1,040,373",4.16,3.98
Medley Cap 6.125% Nts,MCV,25.11,"9,268",25.12,24.84
Medley Cap 6.5% Nts 2021,MCX,25.64,"1,469",25.64,25.53
Medley 7.25% Nts 2024,MDLQ,25.32,"10,938",25.49,25.15
Medley 6.875% Sr. Nts 26,MDLX,24.97,"9,547",24.98,24.46
Medley Management Cl A,MDLY,5.70,"96,306",6.70,5.69
Mednax,MD,55.63,"1,703,354",55.83,53.75
Medtronic,MDT,80.22,"23,359,181",80.92,76.57
Meidell Tactical Adv,MATH,33.00,"146,277",33.17,32.69
Merck,MRK,54.47,"48,130,906",55.41,52.97
Mercury General,MCY,45.87,"2,123,558",46.43,44.13
Meredith Corp,MDP,53.80,"2,030,633",54.45,53.10
Meritage Homes,MTH,45.25,"2,077,824",46.55,44.30
Meritor,MTOR,20.56,"3,943,034",21.52,20.51
MerLyn Cap Tr I 6.45%,MER.PK,25.59,"223,448",25.74,25.54
MerLyn Cap Tr III 7.335%,MER.PP,26.26,"100,099",26.36,26.17
Mesabi Trust,MSB,25.75,"402,376",26.00,24.10
Mesa Royalty Trust,MTR,15.03,"21,297",15.60,15.00
Methode Electronics,MEI,39.10,"854,789",40.10,38.20
MetLife,MET,45.89,"27,545,611",46.47,45.00
MetLife Floating Ser A,MET.PA,25.03,"109,528",25.25,24.92
Metropolitan Bank,MCB,42.11,"101,959",42.80,41.09
Mettler-Toledo,MTD,575.03,"895,345",591.48,564.53
Mexico Equity Income,MXE,10.96,"105,263",11.05,10.72
Mexico Fund,MXF,16.21,"435,888",16.29,15.92
MFA Financial,MFA,7.53,"13,373,149",7.59,7.32
MFA Finl Pfd B,MFA.PB,25.17,"37,235",25.49,25.01
MFA Finl Nts 2042,MFO,25.90,"9,402",26.00,25.80
MFC Bancorp,MFCB,6.22,"11,326",6.28,6.20
MFS Charter,MCR,8.12,"269,684",8.13,8.06
MFS Govt Mkts Income Tr,MGF,4.63,"113,345",4.63,4.58
MFS Hi Inc Muni,CXE,4.92,"200,136",4.94,4.84
MFS Hi Yld Muni,CMU,4.45,"286,189",4.46,4.38
MFS Intermed Hi Inc,CIF,2.82,"228,798",2.89,2.78
MFS Inc Tr,MIN,3.93,"742,323",3.95,3.89
MFS Invest Grade Muni,CXH,9.39,"57,163",9.42,9.32
MFS Multimkt,MMT,5.77,"519,811",5.78,5.69
MFS Munl Inco,MFM,6.52,"278,398",6.58,6.46
MFS Special Value,MFV,6.41,"93,670",6.44,6.12
MGIC Investment,MTG,13.00,"16,704,331",13.30,12.22
MGM Growth Properties,MGP,26.54,"2,455,820",26.75,26.04
MGM Resorts Intl,MGM,35.02,"36,009,750",35.87,33.68
Michael Kors Holdings,KORS,62.08,"5,864,448",62.96,60.71
Micro Focus Intl ADR,MFGP,14.04,"11,171,704",14.16,13.03
Mid-Amer Apt Communities,MAA,91.24,"2,961,494",91.54,86.96
Mid-Amer Apartment Pfd. I,MAA.PI,63.00,"1,901",64.68,63.00
MidSouth Bancorp,MSL,12.65,"113,851",13.20,12.50
Midstates Petroleum,MPO,13.33,"756,389",13.38,12.76
M/I Homes,MHO,31.85,"644,244",32.11,31.00
Milacron Holdings,MCRN,20.14,"1,581,474",20.89,19.79
Miller/Howard Hi Incm,HIE,11.41,"172,796",11.54,11.20
Miller Industries,MLR,25.00,"116,627",26.18,24.80
Minerals Technologies,MTX,66.95,"658,957",68.60,65.67
Mississippi Power Pfd. D,MP.PD,25.00,"3,955",25.30,24.90
Mistras Group,MG,18.94,"312,294",19.14,17.78
Mitsubishi UFJ Finl ADR,MTU,6.64,"7,257,802",6.72,6.53
MiX Telematics ADR,MIXT,15.55,"296,409",16.32,15.12
Mizuho Financial ADR,MFG,3.70,"1,214,098",3.73,3.61
Mobile TeleSystems ADR,MBT,11.39,"8,717,762",11.45,11.09
Model N Inc.,MODN,18.05,"733,721",18.25,17.20
Modine Manufacturing,MOD,21.15,"1,959,246",22.85,20.50
Moelis,MC,50.85,"1,897,534",51.05,48.75
Mohawk Industries,MHK,232.22,"3,368,500",237.87,226.62
Molina Healthcare,MOH,81.18,"4,181,117",81.91,74.58
Molson Coors B,TAP,75.33,"8,178,822",76.53,72.53
Monmouth RE 6.125% Pfd. C,MNR.PC,24.30,"44,355",24.40,24.12
Monmouth Real Es Inv Cl A,MNR,15.04,"1,998,962",15.40,14.37
Monsanto,MON,116.69,"8,341,069",118.46,116.00
Moody's Corp,MCO,161.30,"2,963,221",164.13,156.32
Moog A,MOG.A,82.41,"483,409",84.56,80.09
Moog B,MOG.B,80.52,424,80.52,80.52
Morgan Stanley,MS,53.96,"42,717,164",54.90,51.97
Morgan-Stanley Asia-Pac,APF,18.21,"51,387",18.29,17.76
MS China a Shr Fd,CAF,24.90,"629,701",25.14,23.84
MS Cush MLP HI ETN,MLPY,6.16,"71,067",6.25,6.10
Morgan Stanley Pfd. K,MS.PK,26.09,"274,141",26.68,26.08
Morgan Stanley Dep Pfd 1,MS.PI,27.12,"434,887",27.49,26.96
MS Emerging Mkts Debt,MSD,9.39,"177,929",9.52,9.32
MS EmMktDomDebt,EDD,7.82,"1,106,532",7.98,7.77
MS Emerging Fund,MSF,18.43,"86,102",18.52,17.94
MS Income Secs,ICB,18.83,"62,830",18.91,18.54
MS India Invest,IIF,30.38,"280,713",30.91,30.13
MS Non-Cum. pfd.Ser A,MS.PA,22.79,"276,264",22.96,22.62
Morgan Stanley Pfd. E,MS.PE,28.86,"206,113",29.20,28.68
Morgan Stanley Dep Pfd F,MS.PF,28.03,"189,981",28.59,28.02
Morgan Stanley Pfd G,MS.PG,26.31,"116,590",26.79,26.31
MS Mkt Vectors Renminbi,CNY,47.01,"2,230",47.99,45.74
MS Mkt Vectors Rupee/USD,INR,42.50,"3,946",44.56,42.50
Mosaic Acquisition Cl A,MOSC,9.75,"263,400",9.80,9.66
Mosaic Acquisition Un,MOSC.U,10.06,"2,300",10.06,10.04
Mosaic Acquisition Wt,MOSC.WS,1.25,"70,000",...,...
Mosaic,MOS,24.28,"17,953,992",25.10,23.43
Motorola Solutions,MSI,105.30,"5,067,891",107.12,103.92
Movado Group,MOV,38.40,"1,789,079",42.25,31.90
MPLX,MPLX,33.04,"6,558,799",33.91,32.10
MRC Global,MRC,16.44,"3,374,980",16.91,15.62
MSA Safety,MSA,83.24,"827,531",83.87,80.08
MSCI,MSCI,149.47,"5,061,970",159.98,146.55
MSC Industrial Direct,MSM,91.71,"2,049,627",92.08,88.82
MSG Networks Cl A,MSGN,22.60,"1,149,022",23.60,22.55
Mueller Industries,MLI,26.16,"1,008,808",26.48,25.55
Mueller Water Products,MWA,10.87,"4,575,925",11.06,10.65
MuleSoft Cl A,MULE,43.98,"16,069,331",44.20,43.59
Murphy Oil,MUR,25.84,"9,091,628",26.18,25.15
Murphy USA,MUSA,72.80,"997,626",73.91,70.99
MVC Capital,MVC,9.93,"587,269",10.19,9.90
MVC Capital 6.25% Nts,MVCD,25.22,"98,477",25.51,25.12
MV Oil Trust,MVO,7.86,"63,871",8.25,7.71
Myers Industries,MYE,21.15,"257,008",21.45,20.60
Myovant Sciences,MYOV,21.27,"335,466",24.14,18.73
Nabors Industries,NBR,6.99,"26,349,266",7.46,6.76
NACCO Industries Cl A,NC,32.85,"307,738",38.65,32.15
Nam Tai Property,NTP,12.45,"165,115",13.05,12.30
National Bank Holdings,NBHC,33.25,"1,054,993",33.83,31.92
National Fuel Gas,NFG,51.45,"1,953,448",52.05,49.78
National Grid ADR,NGG,56.43,"3,033,689",56.98,53.69
National Health Investors,NHI,67.29,"1,350,298",68.15,65.56
Natl Oilwell Varco,NOV,36.81,"9,643,025",38.07,35.81
National Presto Inds,NPK,93.75,"212,841",96.90,93.40
National Retail Prperties,NNN,39.26,"4,133,558",39.33,37.15
Natl Retail Prop Pfd. F,NNN.PF,23.17,"72,502",23.50,23.17
Natl Retail Prop Pfd E,NNN.PE,25.13,"140,342",25.13,24.92
Natl Storage Affiliates,NSA,25.08,"1,197,329",25.53,24.35
Natl Storage 6% Pfd A,NSA.PA,24.49,"115,122",24.49,23.96
Nationstar Mortgage Hldgs,NSM,17.96,"1,031,752",18.28,17.86
Nationwide Max Divers EM,MXDE,25.27,"599,322",25.27,25.27
Nationwide Max Divers US,MXDU,26.37,"6,511",26.50,26.37
Nationwide RiskBased Intl,RBIN,26.26,600,26.26,26.03
Natixis Loomis Short Dur,LSST,24.85,"2,593",24.85,24.79
Natixis Seeyond Intl Min,MVIN,45.30,835,45.30,44.91
Natural Gas Services,NGS,23.85,"133,418",24.65,23.05
Natural Grocers,NGVC,7.16,"212,022",7.37,6.97
Natural Resource Partners,NRP,28.70,"63,018",29.15,28.00
Natuzzi ADR,NTZ,1.64,"138,688",1.71,1.64
Nautilus,NLS,13.45,"1,535,077",13.65,12.10
Navigant Consulting,NCI,19.24,"800,496",19.58,18.81
Navigator Holdings,NVGS,11.75,"355,666",11.95,11.35
Navios Marit Acq,NNA,.84,"1,932,096",.88,.83
Navios Maritime Holdings,NM,.90,"4,978,030",1.04,.86
Navios Maritime ADR Pfd H,NM.PH,12.10,"43,304",14.23,12.10
Navios Maritime Pfd ADR,NM.PG,12.18,"22,389",13.96,12.18
Navios Maritime Midstream,NAP,4.04,"4,596,486",8.60,3.80
Navios Maritime Prtnrs un,NMM,1.80,"4,346,062",1.86,1.67
Navistar Intl,NAV,34.97,"3,724,955",35.24,31.56
NCI Building Systems,NCS,17.70,"2,146,768",17.90,17.00
NCR Corp,NCR,31.52,"5,136,691",31.67,30.13
Neenah,NP,78.40,"342,946",80.65,77.30
Nelnet A,NNI,52.41,"312,310",52.89,50.38
NeoPhotonics,NPTN,6.85,"5,358,028",7.15,5.98
Netshoes (Cayman),NETS,5.92,"349,219",6.62,4.59
Nevro,NVRO,86.67,"1,085,892",89.84,85.20
NewAmFd,HYB,8.70,"403,026",8.74,8.61
Newell Brands,NWL,25.48,"38,990,382",26.07,24.60
Newfield Exploration,NFX,24.42,"17,114,845",24.96,23.25
New Germany Fund,GF,19.53,"93,705",19.70,19.19
New Home,NWHM,11.08,"391,684",11.73,10.81
New Ireland Fund,IRL,12.05,"130,657",12.15,11.90
New Jersey Resources,NJR,40.10,"1,907,284",40.40,38.15
NewMarket Corp,NEU,401.68,"131,379",403.20,395.53
New Media Invt Group,NEWM,17.14,"1,407,563",17.72,17.05
Newmont Mining,NEM,39.07,"23,397,402",40.02,38.22
New Mountain Finance,NMFC,13.15,"1,525,136",13.35,13.05
New Oriental Edu ADR,EDU,87.65,"5,240,246",93.66,84.27
Newpark Resources,NR,8.10,"2,757,070",8.55,7.95
New Relic,NEWR,74.12,"1,920,172",78.54,72.25
New Residential Invt,NRZ,16.45,"12,808,062",16.93,16.18
New Senior Invt Group,SNR,8.18,"2,392,399",8.26,7.64
New York&Co;,NWY,3.38,"982,659",3.50,3.30
NY Community Bancorp,NYCB,13.03,"24,324,975",13.35,12.79
NY Com Bncp Pfd A,NYCB.PA,27.23,"68,790",27.35,27.09
New York Comm Cap Tr V,NYCB.PU,50.00,"60,567",50.25,49.75
New York REIT,NYRT,21.51,"748,101",21.62,20.43
New York Times,NYT,24.10,"8,128,542",24.15,23.05
Nexa Resources,NEXA,17.51,"830,642",18.32,16.95
NexPoint Residential Tr,NXRT,24.84,"306,598",25.14,23.75
NexPoint Strat Opps Fund,NHF,22.98,"660,034",23.95,22.95
NextEra Engy Pfd J,NEE.PJ,24.76,"51,279",24.80,24.57
NextEra Energy Deb 2076 K,NEE.PK,24.91,"129,026",25.05,24.83
NextEra Engy Cap I,NEE.PI,24.71,"111,255",24.80,24.60
NextEra Energy,NEE,163.33,"9,259,613",164.41,159.88
NextEra Energy Un,NEE.PQ,72.93,"164,280",73.02,71.38
NextEra Energy Un,NEE.PR,57.66,"95,620",58.21,57.08
NextEra Energy Partners,NEP,39.99,"710,070",41.70,39.82
NGL Energy Partners,NGL,11.00,"2,088,440",11.03,10.00
NGL Engy Ptrs Pfd. B,NGL.PB,23.26,"191,128",23.99,23.10
Niagara Mhwk Pwr 3.6% pfd,NMK.PB,94.30,102,94.30,94.30
Nielsen Holdings,NLSN,31.79,"16,133,303",32.67,31.49
Nike Cl B,NKE,66.44,"36,821,718",67.64,64.99
Nine Energy Service,NINE,24.35,"794,005",25.48,22.60
NiSource,NI,23.91,"16,436,859",24.00,23.13
NL Industries,NL,7.85,"201,891",8.40,7.55
Noah Holdings ADR,NOAH,47.21,"957,047",51.39,45.13
Noble Corp,NE,3.71,"25,126,480",4.06,3.55
Noble Energy,NBL,30.30,"16,371,023",31.02,29.27
Noble Midstream Partners,NBLX,46.63,"581,454",47.32,44.92
Nokia ADR,NOK,5.47,"61,082,525",5.55,5.39
Nomad Foods,NOMD,15.74,"4,314,210",16.51,15.71
Nomura Holdings ADR,NMR,5.85,"800,008",5.87,5.66
Norbord,OSB,36.33,"373,492",36.81,35.09
Nordic American Offshore,NAO,1.10,"320,091",1.17,1.10
